altProducts	category	categoryEng	commentCount	globalYn	id	japanYn	koreaYn	logoUrl	memos	name	nameEng	nation	productType	tags
['웰리', ' 마이스토', ' 카미(미카)', ' 시쿠']	취미	hobby	5	False	97	False	False		[]	토미카	tomica	일본	GENERAL	['#자동차', ' #모형', ' #미니카', ' #장난감']
['현대', ' 기아', ' 쌍용', ' 볼보']	자동차	car	3	False	96	False	False		[]	이스즈	isuzu	일본	GENERAL	['#자동차', ' #트럭']
['현대', ' 기아', ' 쌍용', ' 쉐보레']	자동차	car	4	False	95	False	False		[]	스바루	subaru	일본	GENERAL	['#자동차']
['제네시스', ' 현대', ' 기아', ' 쌍용', ' 쉐보레']	자동차	car	4	False	94	False	False		[]	인피니티	infiniti	일본	GENERAL	['#스포츠카', ' #자동차']
['현대모비스', ' 만도']	자동차	car	10	False	93	False	False		[]	덴소	denso	일본	GENERAL	['#자동차', ' #부품']
['대림', ' 효성', ' BMW', ' 두카티']	자동차	car	13	False	92	False	False		[]	스즈키	suzuki	일본	GENERAL	['#오토바이', ' #이륜차']
['현대', ' 기아', ' 쌍용', '  쉐보레']	자동차	car	3	False	91	False	False		[]	미쯔비시	mitsubishi	일본	GENERAL	['#전범기업', ' #닛싼']
['현대', ' 기아', ' 쌍용', ' 쉐보레']	자동차	car	12	False	90	False	False		[]	닛산	nissan	일본	GENERAL	['#전범기업', ' #닛싼']
['한국타이어', '  금호타이어', '  넥센타이어']	자동차	car	1	False	89	False	False		[]	요코하마 타이어	yokohama	일본	GENERAL	['#바퀴', ' #타이어', ' #자동차']
['한국타이어', '  금호타이어', '  넥센타이어']	자동차	car	12	False	88	False	False		[]	브리지스톤타이어	bridgestone	일본	GENERAL	['#바퀴', ' #타이어', ' #자동차']
['제네시스', ' 아우디', ' 벤츠', ' bmw']	자동차	car	15	False	87	False	False		[]	렉서스	lexus	일본	GENERAL	['#고급차', ' #토요타', ' #프리미엄']
['현대', ' 기아', ' 쌍용', ' 쉐보레']	자동차	car	17	False	86	False	False		[]	토요타	toyota	일본	GENERAL	['#자동차', ' #글로버', ' #캠리']
['코베아', ' 카즈미', ' 미니멀웍스', ' 스노우라인', ' 몬테라']	취미	hobby	2	False	85	False	False		[]	도플갱어아웃도어	D.O.D	일본	GENERAL	['#감성', ' #캠핑']
['파세코', '  알파카']	취미	hobby	2	False	84	False	False		[]	토요토미	toyotomi	일본	GENERAL	['#캠핑', ' #난로', ' #불']
['코베아', ' 카즈미', ' 미니멀웍스', ' 스노우라인', ' 몬테라']	취미	hobby	0	False	83	False	False		[]	로고스	logos	일본	GENERAL	['#캠핑', ' #아웃도어', ' #감성']
['코베아', ' 카즈미', ' 미니멀웍스', ' 스노우라인', ' 몬테라']	취미	hobby	2	False	82	False	False		[]	유니프레임	uniframe	일본	GENERAL	['#캠핑', ' #아웃도어', ' #소풍', ' #동명회사주의']
['코베아', ' 카즈미', ' 미니멀웍스', ' 스노우라인', ' 몬테라', ' 리치타운']	취미	hobby	22	False	81	False	False		[]	스노우피크	snowpeak	일본	GENERAL	['#캠핑', ' #아웃도어', ' #소풍']
['DIF', '  머모피', '  썬라이스', '  용성', '  세양조구', ' 잔카', ' 바낙스', ' 하이테나']	취미	hobby	15	False	80	False	False		[]	시마노-낚시	shimano	일본	GENERAL	['#레저', ' #취미', ' #낚시']
['DIF', '  머모피', '   썬라이스', '  용성', '  세양조구', ' 잔카', ' 바낙스', ' 하이테나']	취미	hobby	6	False	79	False	False		[]	가마가츠	gamakatsu	일본	GENERAL	['#레저', ' #취미', ' #낚시']
['DIF', '  머모피', '   썬라이스', '  용성', '  세양조구', ' 잔카', ' 바낙스', ' 하이테나']	취미	hobby	21	False	78	False	False		[]	다이와-낚시	daiwa	일본	GENERAL	['#레저', ' #취미', ' #낚시', ' #공구 다이와는 국산임']
['아카데미', ' 아이피피']	취미	hobby	21	False	77	False	False		[]	타미야	tamiya	일본	GENERAL	['#완구', ' #프라모델']
['아크웰', ' 이니스프리', ' 아이소이', ' 차앤박', ' 메디큐브']	화장품	cosmetic	9	False	76	False	False		[]	아크네스	acnes	일본	GENERAL	['#여드름', ' #폼클렌저', ' #스킨', ' #로토']
['안티푸라민', ' 멘담네오', ' 파워풀엑스']	의약품	drug	27	False	75	False	False		[]	멘소래담	mentholatum	일본	GENERAL	['#로토', ' #소염', ' #진통제']
['하이맘밴드', ' 이지덤', ' 대일밴드']	의약품	drug	3	False	74	False	False		[]	케어리브	careleaves	일본	GENERAL	['#밴드', ' #반창고', ' #상처', ' #니치반']
['파워콜', ' 씨콜드', ' 오메콜', ' 타이레놀']	의약품	drug	10	False	73	False	False		[]	화이투벤	whituben	일본	GENERAL	['#종합', ' #감기', ' #진통', ' #다케다']
['오라칠', '  페리터치', '  알보제로액', '  애니메디']	의약품	drug	21	False	72	False	False		[]	알보칠	albothyl	일본	GENERAL	['#구내염', ' #입', ' #고통']
['정관장알파프로젝트 위건강', ' 대웅 위애 양배추', '  양배추']	의약품	drug	12	False	71	False	False		[]	카베진	cabagin	일본	GENERAL	['#카베진코와', ' #위장약', ' #약']
['마그비 액티브정(유한양행)', '  비맥스 메타정(녹십자)']	의약품	drug	9	False	70	False	False		[]	액티넘	actinum	일본	GENERAL	['#타케다제약', ' #영양제', ' #비타민']
