base_price	delivery_expected_date	delivery_type	discount_rate	href	is_soldout	item_id	name	price	product_id	rating	rating_count	vendor_item_id	brand_name	breadcrumb
	모레(토) 9/7 도착 예정			/vp/products/286528528?itemId=908440616&vendorItemId=5274444562		908440616	동원 리챔2호 (햄세트 명절 선물세트 추석선물 설선물 스팸세트), 입수량5	37,500	286528528			5274444562	파크몰	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/286547262?itemId=908496851&vendorItemId=5274540644		908496851	아놀드파마 여성 패션양말 중목 5족선물세트/여자양말선물세트/양말선물박스/여성양말선물세트/여자면양말/여성면양말/추석선물세트/추석양말선물세, AP6502_여성중목 5족선물박스	17,200	286547262			5274540644	태영양말	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/290415643?itemId=919109474&vendorItemId=5289764832		919109474	간식 사조명품호 가공식품 즉석 추석선물세트, 단품	159,440	290415643			5289764832	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/293678353?itemId=927166625&vendorItemId=5303141800		927166625	무료배송2종 구르메델리 특선세트 추석 선물세트 선물, 명품세트	102,280	293678353			5303141800	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/293679607?itemId=927170487&vendorItemId=5303145216		927170487	사조참치7호 추석 명절 참치캔 선물세트 추석선물세트, 단품	38,550	293679607			5303145216	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/290187526?itemId=918502738&vendorItemId=5288732211		918502738	동원 캔67호 (동원참치 런천미트 명절 선물세트 추석선물 설선물 스팸세트), 입수량4	36,000	290187526			5288732211	파크몰	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/290187242?itemId=918501931&vendorItemId=5288731245		918501931	동원 캔57호 (동원참치 리챔 명절 선물세트 추석선물 설선물 스팸세트), 입수량4	38,000	290187242			5288731245	파크몰	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/286630076?itemId=908720679&vendorItemId=5274921711		908720679	동원 튜나리챔 100호 (동원참치 명절 선물세트 추석선물 설선물 스팸세트), 입수량4	37,500	286630076			5274921711	파크몰	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/286516888?itemId=908406801&vendorItemId=5274381602		908406801	동원 캔10호 (동원참치 런천미트 명절 선물세트 추석선물 설선물 스팸세트), 입수량4	39,800	286516888			5274381602	파크몰	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/62474197?itemId=213227164&vendorItemId=3519477065		213227164	제주 벌꿀로 만든 (명절 인사 선물) 제주자연 꼬마2종세트+쇼핑백증정_한라봉차 오미자차, 1개	7,400	62474197	5.0	(1)	3519477065	제주 벌꿀로 만든	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/196393', '선물세트관'), ('/np/categories/196423', '커피/차/음료'), ('/np/categories/196426', '차 선물세트')]
