uid	user_name	helpful_count	write_count
113641391	슈펀썬	0	44
117966770	유*택	0	3
109053874	강*경	7	48
108267446	허*영	77	844
21759939	정*영	169	142
114558921	심*호	0	12
28182480	박*철	0	4
7210963	한*선	0	4
1968086	이*미	1	6
42207190	이*태	14	98
119670748	김*지	0	10
14026717	황*숙	0	40
101582815	오*자	2	7
110233568	권*경	53	89
1312740	강*훈	2	43
3278822	강*미	0	9
20973546	이*민	0	243
115607530	이*영	1	6
24250348	린맘119	60	121
7079917	조*남	1	13
1574891	이*현	0	1
103286767	최*미	84	137
17565674	김*지	0	2
31459309	최*이	14	44
15337457	강*선	4	30
1837043	공*영	0	4
113903604	등*	0	4
133109	김*혁	0	22
14157813	오*순	0	44
13502455	김*정	1	5
116131832	임*성	0	59
6948860	권*윤	0	20
9570301	왕*의	0	9
104204286	박*진	0	7
7735301	성*숙	0	15
41945095	윤*지	3	60
106956808	한*환	2	42
17041419	고*나	2	5
114034701	전*경	5	117
39192590	손*원	10	31
14682138	박*중	0	2
53217307	이*희	0	39
29231132	강*주	0	4
53217318	신*미	2	27
107350055	Z*I	0	68
14813231	조*하	7	247
22022191	문*숙	28	498
19531825	서*경	24	166
20973618	이*락	0	2
54659124	오*경	0	7
111282228	김*강	2	48
107350069	노*리	0	7
108529719	박*진	8	29
114559036	김*진	0	22
46008381	김*춘	0	6
1837121	윤*영	2	8
8652867	윤*	2	158
103155780	김*향	26	35
106301516	김*옥	2	68
109316173	윤*철	136	404
12453975	김*영	0	54
14288985	한*경	26	77
106039389	정*흥	0	21
1181790	김*은	0	10
107612255	강*옥	0	137
111151204	이*영	0	112
39848037	박*희	3	119
66586725	이*자	0	6
39061606	송*선	0	165
101058676	김*정	0	12
10618996	박*영	1	6
105384055	유*미	1	490
23201912	박*아	0	1
101714044	배*진	4	15
13895806	양*모	0	20
2492545	우*진	21	27
107088002	신*경	52	168
54003841	한*빈	0	37
14944389	박*희	43	700
23201926	이*영	20	46
32901260	전*정	1	12
36964493	문*영	65	86
115083407	그리아츠	6	144
111413394	박*영	28	83
2754710	문*숙	0	425
4851863	윤*연	0	39
4458647	김*현	0	5
117704854	김*현	0	27
108005531	박*경	2	17
2623645	서*정	1	31
100141216	박*희	1	8
41683108	최*영	242	102
64096421	한*원	22	37
32508069	김*석	5	34
45353129	안골전지현	77	526
1050793	1호2호	11	32
118360236	정*순	0	82
109316269	hs깜보토끼	74	268
7604397	김*희	0	6
108529848	박*용	0	32
109709500	이*하	7	144
110364864	X*E	0	200
16517314	조*건	0	17
114559174	윤*숙	47	397
1181908	김*영	0	8
71567573	전*리	4	9
111413467	하*근	1	66
104859868	adlhj	3	131
110627040	고*영	1	6
100010208	김*현	0	1
116000994	이*곤	0	6
3672295	김*롱	0	20
5769449	진*자	21	236
107481327	이*숙	2	33
108529906	노*정	0	132
16255219	블랙라벨00	0	14
8259827	최*선	0	5
22022392	김*민	0	42
4589816	이*희	151	150
526587	우*현	3	63
30542080	안*정	0	41
39323907	이*은	26	49
1837318	노*홍	1	3
36571400	박*연	2	23
5769483	신*슬	7	31
3672331	박*은	39	48
115476751	정*여	0	16
2885904	김*규	0	3
101320975	심*두	0	6
14813456	이*순	1	162
108398868	손*근	0	4
108923160	신*광	452	74
9439513	김*지	137	112
104859935	김*훈	1	309
109447459	이*희	0	1
115607844	신*정	0	13
2230566	백*현	8	15
109971752	최*환	0	1
22153512	김*영	2	5
108267820	오*창	0	3
116263213	P0o9i8u7	24	355
109840686	홍*숙	0	18
21629229	양*영	10	33
11929905	김*경	1	15
24381747	최*희	3	23
6424884	이*연	0	3
120064309	정*규	0	3
12323126	박*규	0	9
526645	소녀마마	9	238
31328569	최*영	1	10
21760313	한*수	12	82
2623802	여*희	335	347
20187461	유*수	49	160
47581509	올드퓨리	77	68
111806798	배*훈	14	235
13633873	박*현	2	127
110627153	박*주	3	24
107088216	박*서	0	80
12061017	이*진	0	19
112724314	고*권	0	42
57674076	박*경	1	255
107481438	최*석	1	24
74451297	고*환	27	64
104991075	신*령	9	33
18090340	이*지	1	24
9963880	박*애	6	29
526697	홍*선	0	10
112462190	이*옥	0	3
107874680	도*영	62	760
29886841	신*희	1	35
103811451	김*경	5	56
9570685	윤*아	0	352
108398975	이*화	136	164
27658623	김*영	166	1045
73402751	민*양	157	75
526727	이*아	24	8
117180808	박*연	0	16
109316489	최*식	5	39
114035086	정*경	1	14
11274640	김*승	0	64
115214736	진*현	0	13
50334096	루루02	41	85
107481488	울트라캡숑	310	186
4589974	이*희	5	214
108792220	김*형	0	24
114166172	김*자	0	5
35785119	고*이	37	308
106039713	김*훈	182	735
112331170	조*철	0	77
63965602	정*용	0	16
9832869	홍*희	12	83
49285542	정*영	79	152
9177515	이*정	5	11
25561516	이*정	0	3
108136878	노*정	139	891
3017139	최*인	0	1
106432948	김*경	38	153
101452213	김*훈	4	68
109709752	P*I	1	21
106695097	Tyvld	4	356
113904058	이*호	0	248
101059005	멍뭉맘	0	763
12585408	이*진	2	18
102238658	다이겨스	16	85
112462277	Y*G	0	73
2230730	thutti	143	113
